 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
60.00   60.00   201.00   201.00   2.000E-01   1.500E-01   3.688E-05    4.254E-08     9.247E-01      0.000E+00     0.000E+00     5.652E-02      0      0    1.000      3        1    -0.018    0.000 
61.00   61.00   201.00   201.00   2.000E-01   1.500E-01   9.781E-06    4.112E-08     9.053E-01      0.000E+00     0.000E+00     4.491E-02      0      0    1.000      3        1    -0.018    0.000 
62.00   62.00   201.00   201.00   2.000E-01   1.500E-01   1.681E-06    3.977E-08     8.471E-01      0.000E+00     0.000E+00     2.782E-02      0      0    1.000      3        1    -0.018    0.000 
63.00   63.00   201.00   201.00   2.000E-01   1.500E-01   3.520E-04    3.849E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.018    0.000 
64.00   64.00   201.00   201.00   2.000E-01   1.500E-01   1.566E-03    3.726E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.018    0.000 
65.00   65.00   201.00   201.00   2.000E-01   1.500E-01   3.184E-03    3.609E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.018    0.000 
66.00   66.00   201.00   201.00   2.000E-01   1.500E-01   4.953E-03    3.498E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.018    0.000 
67.00   67.00   201.00   201.00   2.000E-01   1.500E-01   6.669E-03    3.392E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.018    0.000 
68.00   68.00   201.00   201.00   2.000E-01   1.500E-01   8.170E-03    3.290E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
69.00   69.00   201.00   201.00   2.000E-01   1.500E-01   9.330E-03    3.193E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
70.00   70.00   201.00   201.00   2.000E-01   1.500E-01   1.011E-02    3.100E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
71.00   71.00   201.00   201.00   2.000E-01   1.500E-01   1.046E-02    3.011E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
72.00   72.00   201.00   201.00   2.000E-01   1.500E-01   1.038E-02    2.925E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
73.00   73.00   201.00   201.00   2.000E-01   1.500E-01   9.915E-03    2.844E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
74.00   74.00   201.00   201.00   2.000E-01   1.500E-01   9.079E-03    2.765E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
75.00   75.00   201.00   201.00   2.000E-01   1.500E-01   7.959E-03    2.690E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.000      3        1    -0.017    0.000 
