 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
105.00   105.00   201.00   201.00   -5.000E-01   4.000E+00   1.312E-02    8.405E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
106.00   106.00   201.00   201.00   -5.000E-01   4.000E+00   1.412E-02    8.243E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
107.00   107.00   201.00   201.00   -5.000E-01   4.000E+00   1.507E-02    8.085E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
108.00   108.00   201.00   201.00   -5.000E-01   4.000E+00   1.594E-02    7.931E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.013    0.000 
109.00   109.00   201.00   201.00   -5.000E-01   4.000E+00   1.669E-02    7.782E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
110.00   110.00   201.00   201.00   -5.000E-01   4.000E+00   1.725E-02    7.637E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
111.00   111.00   201.00   201.00   -5.000E-01   4.000E+00   1.750E-02    7.495E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
112.00   112.00   201.00   201.00   -5.000E-01   4.000E+00   1.748E-02    7.358E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
113.00   113.00   201.00   201.00   -5.000E-01   4.000E+00   1.719E-02    7.224E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
114.00   114.00   201.00   201.00   -5.000E-01   4.000E+00   1.652E-02    7.094E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
115.00   115.00   201.00   201.00   -5.000E-01   4.000E+00   1.544E-02    6.968E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.012    0.000 
116.00   116.00   201.00   201.00   -5.000E-01   4.000E+00   1.396E-02    6.844E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
117.00   117.00   201.00   201.00   -5.000E-01   4.000E+00   1.214E-02    6.724E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
118.00   118.00   201.00   201.00   -5.000E-01   4.000E+00   1.011E-02    6.607E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
119.00   119.00   201.00   201.00   -5.000E-01   4.000E+00   8.037E-03    6.493E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
120.00   120.00   201.00   201.00   -5.000E-01   4.000E+00   6.091E-03    6.382E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
121.00   121.00   201.00   201.00   -5.000E-01   4.000E+00   4.407E-03    6.274E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
122.00   122.00   201.00   201.00   -5.000E-01   4.000E+00   3.051E-03    6.168E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
123.00   123.00   201.00   201.00   -5.000E-01   4.000E+00   1.795E-03    6.065E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.011    0.000 
124.00   124.00   201.00   201.00   -5.000E-01   4.000E+00   1.281E-03    5.965E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
125.00   125.00   201.00   201.00   -5.000E-01   4.000E+00   7.587E-04    5.867E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
126.00   126.00   201.00   201.00   -5.000E-01   4.000E+00   5.893E-04    5.771E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
127.00   127.00   201.00   201.00   -5.000E-01   4.000E+00   5.270E-04    5.678E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
128.00   128.00   201.00   201.00   -5.000E-01   4.000E+00   4.946E-04    5.587E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
129.00   129.00   201.00   201.00   -5.000E-01   4.000E+00   4.763E-04    5.498E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
130.00   130.00   201.00   201.00   -5.000E-01   4.000E+00   4.660E-04    5.411E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.010    0.000 
131.00   131.00   201.00   201.00   -5.000E-01   4.000E+00   4.610E-04    5.326E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
132.00   132.00   201.00   201.00   -5.000E-01   4.000E+00   4.596E-04    5.244E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
133.00   133.00   201.00   201.00   -5.000E-01   4.000E+00   4.609E-04    5.163E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
134.00   134.00   201.00   201.00   -5.000E-01   4.000E+00   4.642E-04    5.083E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
135.00   135.00   201.00   201.00   -5.000E-01   4.000E+00   4.691E-04    5.006E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
136.00   136.00   201.00   201.00   -5.000E-01   4.000E+00   4.753E-04    4.931E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
137.00   137.00   201.00   201.00   -5.000E-01   4.000E+00   4.826E-04    4.857E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.009    0.000 
138.00   138.00   201.00   201.00   -5.000E-01   4.000E+00   4.909E-04    4.784E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
139.00   139.00   201.00   201.00   -5.000E-01   4.000E+00   5.001E-04    4.714E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
140.00   140.00   201.00   201.00   -5.000E-01   4.000E+00   5.100E-04    4.645E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
141.00   141.00   201.00   201.00   -5.000E-01   4.000E+00   5.206E-04    4.577E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
142.00   142.00   201.00   201.00   -5.000E-01   4.000E+00   5.317E-04    4.511E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
143.00   143.00   201.00   201.00   -5.000E-01   4.000E+00   5.435E-04    4.446E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
144.00   144.00   201.00   201.00   -5.000E-01   4.000E+00   5.558E-04    4.382E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
145.00   145.00   201.00   201.00   -5.000E-01   4.000E+00   5.685E-04    4.320E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.008    0.000 
146.00   146.00   201.00   201.00   -5.000E-01   4.000E+00   5.817E-04    4.260E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.007    0.000 
147.00   147.00   201.00   201.00   -5.000E-01   4.000E+00   5.954E-04    4.149E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.007    0.000 
148.00   148.00   201.00   201.00   -5.000E-01   4.000E+00   6.094E-04    4.092E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.007    0.000 
149.00   149.00   201.00   201.00   -5.000E-01   4.000E+00   6.238E-04    4.037E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.007    0.000 
